id, smass, sfr, mass clumpy, UVclumpy, z, O3727, O4959, O5007, hbeta, R23, sigma gas, VRe
10462.0,10.17,0.7567121601647717,0.0,0.0,0.7096,560.7368,43.8934,132.6995,379.1355,1.944765657660652,67.9,80.18
10902.0,10.69,0.9241241531858247,0.0,0.0,0.7095,358.7158,23.5963,109.178,599.2507,0.8201744278312899,108.4,211.06
25243.0,10.93,1.2124539610402758,0.0,1.0,0.6294,449.6969,119.8993,138.0416,650.9747,1.0870434749614697,87.3,0.0
28945.0,10.66,0.3402457615679317,0.0,0.0,0.681,665.5466,109.3089,328.8816,96.8447,11.396979907005752,305.2,207.84
39409.0,10.41,1.0432050388876584,0.0,0.0,0.7417,354.6886,97.1924,295.1014,376.0319,1.9864867847648036,142.5,219.49
54714.0,10.77,1.9279141739033367,0.0,0.0,0.7387,943.6769,1550.5614,4623.001,763.7612,9.3186709406029,356.7,228.93
56919.0,10.11,0.8948143290833008,0.0,0.0,0.687,432.3585,51.0296,144.6511,408.5197,1.537353522975759,119.6,167.83
61242.0,10.54,1.064120905829622,0.0,0.0,0.7482,607.4417,97.9415,166.7885,679.9214,1.2827537124144055,108.4,169.15
65508.0,10.7,1.7140529974872198,1.0,0.0,0.6606,1763.2115,1270.9408,3777.614,1832.6689,3.7168559470835127,148.3,239.51
65699.0,10.59,1.4540059381037904,0.0,0.0,0.6622,1607.5002,146.1504,369.8823,1371.6338,1.5481777279037598,45.9,48.71
70416.0,10.67,1.277792518931442,0.0,1.0,0.7887,590.5881,117.7244,183.3733,542.1727,1.6446527093673289,153.5,216.4
73754.0,9.86,0.9286518466536946,1.0,1.0,0.7476,2208.8274,556.9479,1537.2059,838.6678,5.130733766099044,100.4,84.66
80044.0,10.94,1.0226757619537274,0.0,0.0,0.838,792.2181,157.4719,409.8599,541.9376,2.5086834720454902,150.7,240.18
86943.0,10.4,0.8857568810692674,0.0,1.0,0.604,617.5543,75.3874,217.449,524.6352,1.7352832978038832,128.1,193.33
91840.0,10.61,1.0754374615856128,0.0,1.0,0.6069,411.9424,165.5271,476.674,459.0319,2.2964493317348973,86.7,218.98
101992.0,10.66,1.175772659601536,0.0,0.0,0.6771,603.9502,228.9951,751.0207,527.2433,3.004241116008492,156.5,152.66
105701.0,10.6,1.3009431280805526,0.0,0.0,0.714,324.5744,115.561,369.1903,497.6091,1.6264286565498902,126.3,145.25
109010.0,10.81,1.8046981332096304,1.0,1.0,0.725,788.9524,776.0868,2532.667,585.9779,6.992936423028924,218.9,232.48
117232.0,10.24,0.8526019693382348,0.0,1.0,0.7164,557.5341,73.7696,183.6258,298.3689,2.7312816449703705,119.2,272.41
123488.0,11.01,1.3456873288988471,0.0,0.0,0.6924,296.6375,174.3257,585.7457,104.0165,10.159050727528808,346.8,273.07
125253.0,10.94,1.3747666702852022,0.0,0.0,0.7497,601.0269,61.6833,586.4772,579.551,2.155439987162476,179.2,198.66
127745.0,10.76,1.082569964269923,0.0,0.0,0.731,211.6002,21.8225,223.9097,303.3768,1.507473214827238,158.1,236.71
128659.0,10.79,1.727142564161833,0.0,1.0,0.7255,737.5371,75.0956,294.3682,554.2414,1.997326255310412,141.2,182.58
135418.0,11.11,1.2587569725365753,0.0,0.0,0.7402,600.2445,7.4552,170.3854,580.9114,1.3394212955710632,96.2,106.31
138718.0,11.2,0.7103712642607627,0.0,0.0,0.656,136.6105,42.8941,97.3194,87.0536,3.1799259306909766,220.0,224.8
138923.0,10.19,1.139249217571607,0.0,1.0,0.7569,1072.162,73.8658,255.8714,618.9937,2.264803664399169,129.9,87.65
147029.0,9.96,0.95433900860246,0.0,1.0,0.7519,954.0648,105.857,321.6501,565.66,2.44240692288654,141.2,141.55
149055.0,10.0,1.3156345291000322,0.0,0.0,0.7083,1437.5348,391.5155,1103.6444,534.2849,5.489009141003236,105.7,51.86
157147.0,11.13,2.0838178347364504,1.0,1.0,0.6602,3365.8293,2684.9758,8844.876,1786.4574,8.3381115609026,276.0,172.34
161439.0,10.59,1.1048284036536553,0.0,1.0,0.6892,471.801,67.2179,179.33,559.1966,1.2846088477648112,136.1,200.04
162620.0,10.2,0.8213169705910973,0.0,1.0,0.7061,720.5641,58.2559,147.6679,373.0877,2.483297894838131,76.9,119.76
180320.0,10.11,1.0939117410493782,0.0,1.0,0.7312,2164.9138,328.7607,844.3566,1051.7054,3.1739221839119582,56.5,45.4
185803.0,10.95,1.0502637226457958,0.0,0.0,0.6737,736.9883,91.7287,232.611,306.3212,3.464755296074839,175.6,235.83
196913.0,11.06,1.7177536932107156,0.0,0.0,0.7452,1160.2079,265.2891,1013.2083,1480.3331,1.6474030743486043,200.8,268.34
198824.0,10.95,1.5295971612254249,0.0,1.0,0.8206,1056.4023,996.0315,2525.5522,305.0428,15.007684167598777,262.5,330.41
200059.0,11.22,1.509860859929156,0.0,0.0,0.7945,378.4671,134.9022,664.2848,258.267,4.559831879411617,182.1,219.07
200633.0,10.22,0.9571761304048462,0.0,1.0,0.6919,1418.1411,60.1979,190.2333,848.2501,1.9670758659503844,74.1,141.03
205906.0,10.51,1.2388987922278405,0.0,1.0,0.6991,733.3498,167.2393,455.6291,1402.9277,0.9667056969507408,156.4,112.83
209031.0,10.7,1.146252102092995,0.0,0.0,0.7777,432.6541,45.4074,82.3878,459.5656,1.2195196942503963,126.9,131.63
215058.0,10.24,0.5997739391463883,0.0,0.0,0.6039,451.1403,35.707,128.6291,297.6331,2.067903065888841,138.6,188.84
216523.0,10.24,1.189434163401028,0.0,0.0,0.6746,1615.8915,174.8164,524.5211,976.5643,2.370790126159639,82.2,167.05
216580.0,10.95,1.2837307867778815,0.0,0.0,0.6963,1098.7437,136.6639,491.6687,915.2156,1.8870704345511595,126.7,241.37
225097.0,10.53,0.1007150865730815,0.0,0.0,0.6121,169.4876,9.649,69.6717,74.5985,3.3352989671374087,131.7,72.39
228931.0,10.94,1.0060807827160938,0.0,0.0,0.6967,276.9587,69.8671,208.0912,513.3575,1.0809562536828623,210.6,328.77
230481.0,11.02,1.3154455182245843,0.0,0.0,0.6946,651.8262,142.8164,445.4433,1084.0581,1.143929370575249,107.1,218.43
234911.0,10.47,1.0699269687524724,1.0,1.0,0.7304,295.9568,31.995,216.3941,229.5473,2.371388816161201,170.0,164.41
241820.0,10.29,1.4364171040463676,0.0,1.0,0.7015,3146.7495,555.4595,1979.9908,1746.3622,3.2537349926607435,143.2,149.31
246882.0,10.63,1.673923595935642,0.0,0.0,0.7367,1703.3065,208.6717,604.1707,1583.6987,1.5887800501446394,85.4,86.53
246995.0,10.73,1.4425895047075803,0.0,0.0,0.6167,1378.8855,182.6591,433.4896,1631.8685,1.2225459343078195,61.8,118.29
256221.0,10.38,1.5220528008688226,0.0,1.0,0.8092,1674.9401,279.3732,1197.5302,1338.5439,2.354680709388762,121.8,156.85
256256.0,10.4,1.1447609607760731,0.0,1.0,0.6998,607.9901,85.4496,187.8442,321.8992,2.7377635607668487,97.7,136.25
